geneName	locusTag	logFC	adj.PVal	FDR
fixA	RPHASCH2410_PC00145	-1.11967786696576	5.48225408540838e-07	5.48225408540838e-07
fixI	RPHASCH2410_PC00505	-1.19785121342802	1.65236992608711e-08	1.65236992608711e-08
fixS	RPHASCH2410_PC00500	-1.99181804346766	2.60209127770295e-10	2.60209127770295e-10
nifZ	RPHASCH2410_PC00180	-1.64723193047055	8.65667990768531e-09	8.65667990768531e-09
nodA	RPHASCH2410_PC00625	4.8484425686507	9.20400745596126e-13	9.20400745596126e-13
nodB	RPHASCH2410_PC00470	4.45296737078418	2.19729708769122e-12	2.19729708769122e-12
nodC	RPHASCH2410_PC00465	3.31390192252824	1.88491953465543e-12	1.88491953465543e-12
nodI	RPHASCH2410_PC00450	1.47840166941226	6.3816952833011e-08	6.3816952833011e-08
nodS	RPHASCH2410_PC00460	2.51802869224349	3.84153505894399e-11	3.84153505894399e-11
nodZ	RPHASCH2410_PC00485	2.01617042654993	2.77588238396126e-11	2.77588238396126e-11
nolO	RPHASCH2410_PC00395	2.82936842024055	1.4831889806762e-11	1.4831889806762e-11
